counter,true_positive,false_positive,true_negative,false_negative,file_count,hexsha
889,309,68,1959,589,2925,adc0c4fbac98f9cb975e8fa8220323b2de638b46
890,309,68,1959,589,2925,6a46f239573369d0f701a1caf037f62b25adec02
891,309,68,1959,589,2925,c0416711672ab289260c4a00a0024da862140027
892,309,68,1958,590,2925,ae32f324981dd64d7c04fcbed9d99356914a61de
894,309,68,1958,590,2925,b1e552debf8303124a213008d319df9a817b4932
895,309,68,1958,590,2925,537818af8783a4f9f239ed6277b1f810c1666839
896,309,68,1958,590,2925,635ffc3c37d58eb96ae17d5389dd50bf635413c6
897,309,68,1958,590,2925,d27e0f04a68cf62088b5b1b3a2c0d6f7e8f89c5d
898,310,68,1958,590,2926,e176de25127a2750ea1c6a705b2c0983b5782b41
899,310,68,1958,592,2928,35901e64b043733acd1687734274553cf994511b
900,310,68,1958,592,2928,5b6ca150730cddb09ff8622d49b273d57b9c6703
902,310,68,1958,592,2928,5d0961fdfc396e755e60d4fa986bab8f45d375f4
903,310,68,1958,592,2928,70912e137d5a6b089f35c662115fb758a00d7002
904,310,68,1958,592,2928,faa2a0f662ed6fe0b90d10e98cc8ee3795d9307c
905,310,68,1958,592,2928,1c7c782d6e7cdce09a982f05d468d538698c3004
907,310,68,1957,593,2928,7f0953ce1f1e263a2a74db52d70cdf278840a1d2
908,311,67,1957,593,2928,1e2362ca0f2805e91204a7b005e5aed293b40c9e
909,311,67,1957,593,2928,434d309ef6dbecbfd2b322d3a1da78aa5cb05fa8
912,311,67,1957,593,2928,0abb06930fc0686cb35079934e5bb40df66f5691
913,311,67,1957,593,2928,fd81588bc64583c8ee17f680e621129c9be83c43
914,311,67,1957,593,2928,f93e7f5674436b230e6b4023570939a20c0c6055
915,312,67,1957,593,2929,1a76257b1b385ac8afd67bd36d061f508613e4d2
916,312,67,1957,593,2929,3bdaaf6777804d33ee46cdb5a889b8cc544a91f1
918,312,67,1958,594,2931,98eb91171d7bb97327c714ef8e816103555573e6
920,312,67,1958,595,2932,53d28f83390aed98fab4eed187eaf1edaa92c6d0
923,312,67,1958,596,2933,14c1fd0730e2fd5ae5eb1c61dbea2e08582fab65
925,312,67,1959,596,2934,a6acfc31837fd7a9e0e387320d995b2c85cfcfce
926,313,66,1959,596,2934,8972818289452d611d97fac0f4a6d24625987b31
928,313,66,1959,596,2934,9f73009e98c51986a50cc45844b8bca72673e955
930,313,66,1959,596,2934,62d4074005f68328b240ab5f4fdfe348896717da
931,313,66,1958,597,2934,f6259ce776eb022d1ca05fc5f4e5bc56ca1a4728
932,313,66,1958,597,2934,4dcfbd792342667174834c40e792f1b8ac2f0609
933,313,66,1958,598,2935,3862c568ac1b920188ecfbe5cd8073160206d6b9
935,313,66,1958,599,2936,74be214e8185c188ef6c1abf3e6dd0adadf5b794
936,313,66,1958,599,2936,34057730a55efe31431070c529031ee5a6f7f47b
937,313,66,1958,600,2937,28cb272a7279e6dfc4d5c53838ebf7343c3e66b5
938,314,65,1958,601,2938,97fa7fe961f961b6c93a11b50a7a1ed35c8bce8d
939,314,65,1958,602,2939,e8cd65f8297928d3fa7ad3d338953a4423028713
940,314,65,1958,602,2939,244404227e8a1c5e241658ef0df789a28ed3bbc6
941,314,65,1958,602,2939,520802160a6c9e9dbe9f5859ae7e084b9000f850
942,314,65,1958,602,2939,16a8d01308f8ca4a7b4673424059424ba3fe36c8
943,314,65,1958,602,2939,3e1bb5cfb8f9676e0c045f0d101a094437133b54
944,314,65,1958,602,2939,f2b665f88610b208196b5753b09b4a5cfb322417
946,315,64,1958,607,2944,ec9004728ee136e3b7e2b7cd2610203e16b6ce9b
947,315,64,1958,607,2944,bcb4fe0012f8f869348ea83f5a35706f4545c44a
948,315,64,1958,607,2944,6ed613b2a52f8719b92b94d815e9f997d262412c
949,315,64,1958,607,2944,a7b7f27c05244d69a11545261eb3bbd73791b3d2
950,315,64,1958,607,2944,69db1c745506bf63026def25d6854755179feaa8
953,316,65,1966,609,2956,a3830f6d663aee9e91871002cbff7c57aee6d989
956,316,68,1970,609,2963,787cc7aa843d5c0834f56b5f8ae03b86ce553c51
958,316,68,1970,609,2963,5980b05c1fad69eef907e0076aa2dc837edab529
962,316,69,1970,611,2966,7fa1dd8a80795d7573fe650014c5d23af7557bc7
963,316,69,1970,611,2966,c9fb4f3c45b668c9a32f9ecdfe404566657df88e
965,317,69,1970,615,2971,b7508896fbe19ec2cdeb81565cd587091b6b68d0
967,317,69,1970,615,2971,d0bd5330432e1dda519ebd89606bd0980a36dcb4
968,317,69,1970,616,2972,0cc059cd104cdb70340bd08e597d403d80dc42a6
969,317,69,1970,616,2972,ece78684d9e09c477c4a0f10236c0aec45bac726
970,317,69,1970,616,2972,52a190b65781f8dc07abd230aaf9043fbdbf4fba
971,317,69,1970,616,2972,de41fbb3cf39cf24387ba03e6a6cfb697a789a2d
972,317,69,1970,616,2972,5b5a27942b2fa113df4d6eb3d77a33c85f58634f
975,317,69,1970,616,2972,f9636fdf922fe49ff82d02b17d6b34469fcf1fda
976,317,69,1970,617,2973,98bcdfa8bd902addd4b8cf37d039b3597d58a45c
977,317,69,1970,617,2973,1f7b25c1a7a85426675a04380f37b180edc08bbc
978,318,69,1969,618,2974,7a40fef17ab7918cbb1ddc3ba080f42b420f7a48
979,318,69,1969,618,2974,dad8434d6ff5da10959672726dc9b397296d380b
980,318,69,1969,619,2975,7eb513ab0f761fe88aa4d3579fdf8706741f2239
983,318,70,1970,619,2977,75b5de8d5f73fcf52a05cd2f82125d7e27bda93b
984,318,70,1970,619,2977,0271a11ba5df58b449a3f968ec57fb1a090c5726
986,318,70,1970,619,2977,8cc41ce7a7a8f6bebfdd89d5ab276cd0109f4fc5
992,319,69,1971,623,2982,197b1878105504b5ac7e399e1f52a6093c88baa3
996,319,69,1971,623,2982,47201371d2805391f4dec3528cdc05f083814165
998,320,68,1971,623,2982,c1893e2839245e75b35597a9200d9ef9c1ad9b46
999,320,68,1971,623,2982,bda408f60bf901620e88d25aad38210985e5c758
1000,320,68,1971,624,2983,1b8d7eff3bb1de1f0b51137d720d6fcf7622bced
1001,320,68,1971,624,2983,333cbdcd2de4546e33ad50ebd8b67e1a1e87aeec
1004,320,68,1971,624,2983,6c6eb8a6917a538968201267f943ef581db1c22d
1005,320,68,1971,624,2983,d3bc86ec11bb22f06b5e30fac891ef3e43f82a6d
1007,320,68,1971,624,2983,26dcf739eaf5577c5072eb8c9ba1c5ac5605683f
1008,320,68,1971,624,2983,7d60659e22c869149cc17f2568a8e073412ea219
1011,320,68,1974,624,2986,45ed19de687d324d3ba852eea93b1afa575e482f
1012,320,68,1974,624,2986,d3fdaf907db6a5be4d0391532d7e65688c19e851
1013,320,68,1974,624,2986,4ce433e811763f29c32e0553fe1e0070fd14c6a2
1014,320,68,1974,624,2986,9324935c3e67c01f665df9dd3a7197a68f8365a8
1015,320,68,1974,624,2986,2a1a085bf1355370205dd44fa60c6aab91ed0976
1017,320,68,1974,624,2986,4bc00defd0cf4de3baf90cad43da62e531987459
1018,320,68,1974,624,2986,ea47a052ba7a097a98993c240ecea96a115f6c25
1020,320,68,1974,624,2986,1175027641f512d33909cb766563328c6b171578
1021,320,68,1974,624,2986,91f701f4fc324cd2feb7dbf151338a358ca0ea18
1022,320,68,1974,624,2986,e1427cc609fa6ab247501b101cfb3c0092aba55b
1023,320,68,1974,624,2986,7bec480fe2ace94c8e7f0c88485442bfa74436b4
1024,320,68,1974,624,2986,e8cbc2b322d873a6fe39faca18d340ce93035087
1026,321,68,1974,625,2988,22bb548900146832459deaefa880660c17a51516
1027,321,68,1974,626,2989,c32b61c6fd6ddf39fd49585954d422ef8d7304f6
1028,321,68,1974,626,2989,22a791e608922d55552da6c7c9ddc81ae29b7ba4
1029,321,68,1974,626,2989,8e631a3175f145dbf3eec269f8e3c59a1520540f
1030,321,68,1974,626,2989,9607a0404188bbe612f05216f5a82df26f4b4e80
1031,321,68,1974,626,2989,2bb1027d6bcdad59624a9d08701e0d2e4a9c0ba7
1032,321,68,1974,626,2989,01b2b0b6543afdaf30623b7a779b7fe4514a9c7b
1033,321,68,1974,627,2990,7ac0cd445e056cac9bfc1fed11026ab6c74b8818
1034,321,68,1974,628,2991,e75882332c8593a1d5a47f9f1e099e9201b12296
1035,321,68,1974,629,2992,b649f68649b0cba2de9e6bb8cf3d3fe468372c2e
1038,321,68,1974,629,2992,c2fcba2ac76cdaed5ccf07ae0521a78feb598825
1039,321,68,1974,629,2992,fe6ddb837d18bd4e71cd22fc18272d31478b19f2
1040,321,68,1974,629,2992,b79fc11d730b5beff92e9dd8853a61524cdeffe3
1042,321,68,1975,629,2993,cbcf78fa949091e037861d66d942d7fb31d57bf6
1043,322,67,1975,631,2995,235caabacc37278487d1107f6bbda90cc208cd64
1044,322,67,1975,631,2995,e34226fc37dfa9eba89d913fd7ab8e95663b0d64
1047,322,67,1975,631,2995,123984ff66c788a7ea36256c152b79dd06e9ef31
1048,323,66,1975,631,2995,9c40f01a66bd15457e10a0bbf28c803968b5dabb
1049,323,66,1975,631,2995,d4b10a725614322769a419180039771634a06571
1050,331,64,1971,646,3012,5153a3bfdcec82324d67ff79862384288cf6afe6
1051,331,64,1971,646,3012,4c30fa905d9d47b3a2ee82095b1fe56cc2ec2ab5
1052,331,64,1971,647,3013,064d4b1cb01cbab0461469254a11c918e6b15cbd
1055,331,64,1970,648,3013,6a98396b9da56bf5eb1c94e037b844eb9bdd1a45
1056,331,64,1970,648,3013,a8eb715b663ff836e54f04c0e4fcafa2ee468b4e
1057,331,64,1970,648,3013,627c7eb7bf81fe4faac552475fa13f449dc8dd33
1060,331,64,1970,648,3013,40bf18e70282784c7923a89c0700a83118b81a50
1061,331,64,1969,649,3013,5ab65ca5c900557f508f62a260f9ea53d9d93f37
1063,331,64,1969,649,3013,233b46f93171d4a7cc279bc3f35e5a99e9a167b8
